;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
25/09/2024;13:57:11;15480.00;;82.033;96.945;---;---;15.486;15.486;15.486;---;994.98;69.767;15.486;---;---;27.038;24.824;7.901;---;66.690;19.044;0.080;---;4.769;5.627;3.615;---;;
25/09/2024;13:57:41;15510.00;;81.839;97.003;---;---;15.492;15.492;15.492;---;995.00;69.736;15.492;---;---;27.065;24.816;5.970;---;66.754;19.048;0.088;---;4.821;5.591;3.643;---;;
25/09/2024;13:58:11;15540.00;;81.954;97.422;---;---;15.508;15.508;15.508;---;994.98;69.660;15.508;---;---;27.047;24.765;1.571;---;66.774;19.030;0.082;---;4.776;5.630;3.634;---;;
25/09/2024;13:58:41;15570.00;;81.514;97.773;---;---;15.519;15.519;15.519;---;994.96;69.767;15.519;---;---;27.110;24.721;13.913;---;66.821;19.048;0.076;---;4.824;5.626;3.630;---;;
25/09/2024;13:59:11;15600.00;;81.431;96.946;---;---;15.520;15.520;15.520;---;994.95;69.904;15.520;---;---;27.121;24.821;18.569;---;66.836;19.073;0.072;---;4.827;5.610;3.627;---;;
25/09/2024;13:59:41;15630.00;;81.540;96.889;---;---;15.518;15.518;15.518;---;994.99;70.011;15.518;---;---;27.106;24.827;12.250;---;66.829;19.071;0.078;---;4.817;5.586;3.625;---;;
25/09/2024;14:00:11;15660.00;;81.083;97.467;---;---;15.518;15.518;15.518;---;994.98;70.118;15.518;---;---;27.172;24.757;10.147;---;66.835;19.086;0.067;---;4.790;5.627;3.616;---;;
25/09/2024;14:00:41;15690.00;;80.251;98.292;---;---;15.518;15.518;15.518;---;994.96;70.255;15.518;---;---;27.295;24.659;9.043;---;67.484;19.056;0.059;---;4.765;5.655;3.646;---;;
25/09/2024;14:01:11;15720.00;;80.166;97.256;---;---;15.525;15.525;15.525;---;994.97;70.416;15.525;---;---;27.308;24.782;17.129;---;67.573;19.050;0.078;---;4.764;5.619;3.616;---;;
25/09/2024;14:01:41;15750.00;;79.837;97.385;---;---;15.525;15.525;15.525;---;994.97;70.553;15.525;---;---;27.356;24.767;13.650;---;67.540;19.064;0.068;---;4.824;5.609;3.611;---;;
